Symbol,Company Name,Security Type,Security Price,Market Capitalization,Revenue (TTM),Sector,Industry,Sub-Industry,Company Headquarters Location
STZ/B,Constellation Brands Inc,Common Stock,129,$24.62B,8237.8,Consumer Staples,Beverages,Distillers & Vintners,United States of America
APH,Amphenol Corp,Common Stock,68.42,$20.48B,8225.4,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,United States of America
WMB,Williams Cos Inc. (The),Common Stock,13.65,$17.43B,8201,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
EXPD,Expeditors International of Washington Inc.,Common Stock,67.1,$11.48B,8175.426,Industrials,Air Freight & Logistics,Air Freight & Logistics,United States of America
ANDE,Andersons Inc (The),Common Stock,17.12,$564.16M,8170.191,Consumer Staples,Food & Staples Retailing,Food Distributors,United States of America
WLK,Westlake Chemical Corp,Common Stock,35.12,$4.52B,8118,Materials,Chemicals,Commodity Chemicals,United States of America
JBLU,JetBlue Airways Corp,Common Stock,7.48,$2.15B,8094,Industrials,Airlines,Airlines,United States of America
GNW,Genworth Financial Inc,Common Stock,3.33,$1.71B,8093,Financials,Insurance,Life & Health Insurance,United States of America
AFG,American Financial Group Inc,Common Stock,64.09,$5.99B,8083,Financials,Insurance,Multi-line Insurance,United States of America
RJF,Raymond James Financial Inc.,Common Stock,57.53,$8.33B,8079,Financials,Capital Markets,Investment Banking & Brokerage,United States of America
CPB,Campbell Soup Co,Common Stock,49.53,$14.33B,8078,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
CFG,Citizens Financial Group Inc,Common Stock,16.94,$7.54B,8066,Financials,Banks,Regional Banks,United States of America
FL,Foot Locker Inc.,Common Stock,18.32,$2.10B,8005,Consumer Discretionary,Specialty Retail,Apparel Retail,United States of America
HSY,Hershey Co (The),Common Stock,139.77,$28.34B,7986.252,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
ZBH,Zimmer Biomet Holdings Inc,Common Stock,92.01,$19.10B,7982.2,Health Care,Health Care Equipment & Supplies,Health Care Equipment,United States of America
CINF,Cincinnati Financial Corp,Common Stock,71.03,$11.88B,7924,Financials,Insurance,Property & Casualty Insurance,United States of America
SC,Santander Consumer USA Holdings Inc,Common Stock,11.87,$4.35B,7905.224,Financials,Consumer Finance,Consumer Finance,United States of America
MSI,Motorola Solutions Inc,Common Stock,126.62,$22.23B,7887,Information Technology,Communications Equipment,Communications Equipment,United States of America
SANM,Sanmina Corp,Common Stock,23.66,$1.70B,7886.012,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services,United States of America
REGN,Regeneron Pharmaceuticals Inc,Common Stock,493.32,$55.00B,7863.4,Health Care,Biotechnology,Biotechnology,United States of America
SPR,Spirit Aerosystems Holdings Inc,Common Stock,18.43,$1.96B,7863.1,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
WRB,Berkley (W.R.) Corp,Common Stock,49.48,$9.30B,7833.002,Financials,Insurance,Property & Casualty Insurance,United States of America
SIRI,Sirius XM Holdings Inc,Common Stock,4.48,$20.96B,7794,Communication Services,Media,Cable & Satellite,United States of America
PPL,PPL Corp,Common Stock,21.77,$17.62B,7769,Utilities,Electric Utilities,Electric Utilities,United States of America
NSIT,Insight Enterprises Inc,Common Stock,39.3,$1.43B,7731.19,Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors,United States of America
DGX,Quest Diagnostics Inc,Common Stock,73.34,$10.30B,7726,Health Care,Health Care Providers & Services,Health Care Services,United States of America
KEY,KeyCorp,Common Stock,9.07,$9.26B,7694,Financials,Banks,Regional Banks,United States of America
VRTV,Veritiv Corp,Common Stock,7.58,$130.73M,7659.4,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,United States of America
DCP,DCP Midstream LP,Unit Trust Fund,4.62,$952.07M,7638,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
SJM,J.M. Smucker Co (The),Common Stock,112.33,$12.57B,7611.1,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
AMT,American Tower Corp,Common Stock (REIT),222.8,$97.77B,7580.3,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,United States of America
WEC,WEC Energy Group Inc,Common Stock,85.25,$27.76B,7523.1,Utilities,Multi-Utilities,Multi-Utilities,United States of America
VOYA,Voya Financial Inc,Common Stock,36.97,$4.96B,7476,Financials,Diversified Financial Services,Other Diversified Financial Services,United States of America
ARNC,Arconic Corp,Common Stock,6.2,--,7442,Materials,Metals & Mining,Aluminum,United States of America
NVR,NVR Inc.,Common Stock,2362.94,$8.61B,7428.442,Consumer Discretionary,Household Durables,Homebuilding,United States of America
ULTA,Ulta Beauty Inc,Common Stock,156.74,$9.13B,7398.068,Consumer Discretionary,Specialty Retail,Specialty Stores,United States of America
TOL,Toll Brothers Inc.,Common Stock,17.85,$2.25B,7388.281,Consumer Discretionary,Household Durables,Homebuilding,United States of America
BX,Blackstone Group Inc,Common Stock,41.74,$27.64B,7338.27,Financials,Capital Markets,Asset Management & Custody Banks,United States of America
FTV,Fortive Corp,Common Stock,54.28,$18.82B,7320,Industrials,Machinery,Industrial Machinery,United States of America
BURL,Burlington Stores Inc,Common Stock,140.56,$9.59B,7286.398,Consumer Discretionary,Specialty Retail,Apparel Retail,United States of America
SCCO,Southern Copper Corp,Common Stock,26.8,$21.14B,7285.6,Materials,Metals & Mining,Copper,United States of America
BLDR,Builders FirstSource Inc,Common Stock,10.92,$1.34B,7280.431,Industrials,Building Products,Building Products,United States of America
BAH,Booz Allen Hamilton Holding Corp,Common Stock,70.06,$9.89B,7274.274,Information Technology,IT Services,IT Consulting & Other Services,United States of America
CTAS,Cintas Corp,Common Stock,164.23,$17.18B,7259.266,Industrials,Commercial Services & Supplies,Diversified Support Services,United States of America
LSXMA,Liberty Media Corp SiriusXM Group,Common Stock,27.1,$9.56B,7228,Communication Services,Entertainment,Movies & Entertainment,United States of America
LSXMB,Liberty Media Corp SiriusXM Group,Common Stock,31,$9.82B,7228,Communication Services,Media,Cable & Satellite,United States of America
LSXMK,Liberty Media Corp SiriusXM Group,Common Stock,27.25,$9.50B,7228,Communication Services,Entertainment,Movies & Entertainment,United States of America
ORI,Old Republic International Corp,Common Stock,14.01,$4.39B,7213.7,Financials,Insurance,Property & Casualty Insurance,United States of America
ABG,Asbury Automotive Group Inc,Common Stock,42.1,$906.16M,7210.3,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
AJG,Arthur J. Gallagher & Co.,Common Stock,76.26,$14.82B,7195,Financials,Insurance,Insurance Brokers,United States of America
MTZ,MasTec Inc.,Common Stock,30.41,$2.36B,7183.188,Industrials,Construction & Engineering,Construction & Engineering,United States of America
OC,Owens Corning,Common Stock,34.98,$4.00B,7160,Industrials,Building Products,Building Products,United States of America
MGLN,Magellan Health Inc,Common Stock,41.73,$1.08B,7159.423,Health Care,Health Care Providers & Services,Managed Health Care,United States of America
DOV,Dover Corp,Common Stock,77.36,$11.63B,7136.397,Industrials,Machinery,Industrial Machinery,United States of America
INTU,Intuit Inc.,Common Stock,218.39,$58.67B,7127,Information Technology,Software,Application Software,United States of America
