Symbol,Company Name,Security Type,Security Price,Market Capitalization,Revenue (TTM),Sector,Industry,Sub-Industry,Company Headquarters Location
CTVA,Corteva Inc,Common Stock,22.62,$16.65B,13846,Materials,Chemicals,Fertilizers & Agricultural Chemicals,United States of America
LVS,Las Vegas Sands Corp,Common Stock,37.92,$30.75B,13739,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,United States of America
TXT,Textron Inc,Common Stock,24.85,$5.58B,13630,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
K,Kellogg Co,Common Stock,63.58,$20.94B,13578,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
QRTEB,Qurate Retail Inc,Common Stock,5.5001,$2.44B,13458,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,United States of America
QRTEA,Qurate Retail Inc,Common Stock,5.45,$2.41B,13458,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,United States of America
CORE,Core Mark Holding Co Inc,Common Stock,25.99,$1.21B,13329.2,Consumer Discretionary,Distributors,Distributors,United States of America
CYH,Community Health Systems Inc,Common Stock,2.82,$366.43M,13210,Health Care,Health Care Providers & Services,Health Care Facilities,United States of America
KMI,Kinder Morgan Inc.,Common Stock,13.41,$30.46B,13209,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
BJ,BJ's Wholesale Club Holdings Inc,Common Stock,26,$3.62B,13190.707,Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers,United States of America
STT,State Street Corporation,Common Stock,52.16,$18.73B,13131,Financials,Capital Markets,Asset Management & Custody Banks,United States of America
GLP,Global Partners LP,Unit Trust Fund,8.4,$286.85M,13081.73,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
J,Jacobs Engineering Group Inc.,Common Stock,78.97,$10.80B,13014.129,Industrials,Construction & Engineering,Construction & Engineering,United States of America
X,United States Steel Corp,Common Stock,5.96,$1.04B,12937,Materials,Metals & Mining,Steel,United States of America
LB,L Brands Inc,Common Stock,11.34,$2.80B,12914.141,Consumer Discretionary,Specialty Retail,Apparel Retail,United States of America
MGM,MGM Resorts International,Common Stock,10.58,$5.79B,12899.672,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,United States of America
AMP,Ameriprise Financial Inc,Common Stock,90.32,$11.66B,12886,Financials,Capital Markets,Asset Management & Custody Banks,United States of America
LHX,L3Harris Technologies Inc,Common Stock,178.5,$40.05B,12856,Industrials,Aerospace & Defense,Aerospace & Defense,United States of America
DISH,DISH Network Corp,Common Stock,18.98,$9.92B,12807.684,Communication Services,Media,Cable & Satellite,United States of America
LAD,Lithia Motors Inc.,Common Stock,67.1,$1.63B,12672.7,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
DTE,DTE Energy Co,Common Stock,87.13,$17.14B,12669,Utilities,Multi-Utilities,Multi-Utilities,United States of America
DTP,DTE Energy Co,Unit Trust Fund,36.87,$7.23B,12669,Utilities,Multi-Utilities,Multi-Utilities,United States of America
ED,Consolidated Edison Inc.,Common Stock,77.9,$26.28B,12574,Utilities,Multi-Utilities,Multi-Utilities,United States of America
LKQ,LKQ Corp,Common Stock,17.35,$5.68B,12506.109,Consumer Discretionary,Distributors,Distributors,United States of America
EIX,Edison International,Common Stock,49.36,$18.65B,12347,Utilities,Electric Utilities,Electric Utilities,United States of America
CNP,CenterPoint Energy Inc.,Common Stock,13.44,$7.10B,12301,Utilities,Multi-Utilities,Multi-Utilities,United States of America
VFC,V.F. Corp,Common Stock,48.88,$19.38B,12248.21,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods",United States of America
PWR,Quanta Services Inc.,Common Stock,30.56,$4.39B,12160.953,Industrials,Construction & Engineering,Construction & Engineering,United States of America
MUSA,Murphy USA Inc,Common Stock,84.71,$2.57B,12101.3,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
AZO,AutoZone Inc,Common Stock,790.56,$18.66B,12078.141,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
EXPE,Expedia Group Inc,Common Stock,48.71,$6.82B,12067,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,United States of America
GPI,Group 1 Automotive Inc.,Common Stock,35.67,$707.49M,12043.8,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
UNM,Unum Group,Common Stock,13.46,$2.63B,11999.6,Financials,Insurance,Life & Health Insurance,United States of America
CSX,CSX Corp,Common Stock,56.78,$43.98B,11937,Industrials,Road & Rail,Railroads,United States of America
VST,Vistra Energy Corp,Common Stock,15.83,$7.79B,11809,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders,United States of America
SCHW,Schwab (Charles) Corp,Common Stock,33.6,$44.22B,11785,Financials,Capital Markets,Investment Banking & Brokerage,United States of America
FOX,Fox Corp,Common Stock,21.59,$13.33B,11710,Communication Services,Media,Broadcasting,United States of America
FOXA,Fox Corp,Common Stock,22.3,$13.84B,11710,Communication Services,Media,Broadcasting,United States of America
CCK,Crown Holdings Inc,Common Stock,52.66,$7.46B,11665,Materials,Containers & Packaging,Metal & Glass Containers,United States of America
ADBE,Adobe Inc,Common Stock,293.61,$146.81B,11661.351,Information Technology,Software,Application Software,United States of America
ALLY,Ally Financial Inc,Common Stock,11.98,$4.85B,11556,Financials,Consumer Finance,Consumer Finance,United States of America
LH,Laboratory Corp of America Holdings,Common Stock,113.31,$11.28B,11554.8,Health Care,Health Care Providers & Services,Health Care Services,United States of America
LYV,Live Nation Entertainment Inc,Common Stock,33.57,$7.26B,11547.969,Communication Services,Entertainment,Movies & Entertainment,United States of America
XEL,Xcel Energy Inc.,Common Stock,57.86,$31.69B,11529,Utilities,Electric Utilities,Electric Utilities,United States of America
GLW,Corning Inc,Common Stock,17.91,$14.25B,11503,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,United States of America
MYL,Mylan NV,Common Stock,13.74,$7.18B,11500.5,Health Care,Pharmaceuticals,Pharmaceuticals,United States of America
GWW,Grainger (W.W.) Inc,Common Stock,238.76,$12.87B,11486,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,United States of America
BLL,Ball Corp,Common Stock,62.17,$20.96B,11474,Materials,Containers & Packaging,Metal & Glass Containers,United States of America
PPC,Pilgrim's Pride Corp,Common Stock,17.61,$4.42B,11409.219,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
DVA,DaVita Inc,Common Stock,65.52,$8.85B,11388.479,Health Care,Health Care Providers & Services,Health Care Services,United States of America
UHS,Universal Health Services Inc.,Common Stock,85.38,$7.69B,11378.259,Health Care,Health Care Providers & Services,Health Care Facilities,United States of America
BAX,Baxter International Inc,Common Stock,81.42,$41.62B,11362,Health Care,Health Care Equipment & Supplies,Health Care Equipment,United States of America
BBBY,Bed Bath & Beyond Inc.,Common Stock,3.94,$451.98M,11359.639,Consumer Discretionary,Specialty Retail,Homefurnishing Retail,United States of America
NSC,Norfolk Southern Corp,Common Stock,142.32,$37.07B,11296,Industrials,Road & Rail,Railroads,United States of America
JCP,J.C. Penney Company Inc.,Common Stock,0.2704,$95.03M,11167,Consumer Discretionary,Multiline Retail,Department Stores,United States of America
DISCA,Discovery Inc,Common Stock,18.36,$9.90B,11144,Communication Services,Media,Broadcasting,United States of America
DISCB,Discovery Inc,Common Stock,27.5,$14.58B,11144,Communication Services,Media,Broadcasting,United States of America
DISCK,Discovery Inc,Common Stock,16.84,$9.05B,11144,Communication Services,Media,Broadcasting,United States of America
KDP,Keurig Dr Pepper Inc,Common Stock,23.8,$33.57B,11120,Consumer Staples,Beverages,Soft Drinks,United States of America
LDOS,Leidos Holdings Inc,Common Stock,87.94,$12.50B,11094,Information Technology,IT Services,IT Consulting & Other Services,United States of America
IQV,Iqvia Holdings Inc,Common Stock,102.72,$20.15B,11088,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,United States of America
NGL,NGL Energy Partners LP,Unit Trust Fund,2.03,$273.38M,11043.775,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,United States of America
FE,FirstEnergy Corp.,Common Stock,37.95,$21.63B,11035,Utilities,Electric Utilities,Electric Utilities,United States of America
RS,Reliance Steel & Aluminum Co,Common Stock,79.76,$5.58B,10973.8,Materials,Metals & Mining,Steel,United States of America
RCL,Royal Caribbean Cruises Ltd,Common Stock,24.39,$5.18B,10950.661,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",United States of America
NVDA,NVIDIA Corporation,Common Stock,243.91,$156.35B,10918,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,United States of America
ETR,Entergy Corp.,Common Stock,83.38,$17.56B,10878.673,Utilities,Electric Utilities,Electric Utilities,United States of America
SRE,Sempra Energy,Common Stock,104.28,$31.00B,10829,Utilities,Multi-Utilities,Multi-Utilities,United States of America
VMW,VMware Inc,Common Stock,116.97,$49.37B,10811,Information Technology,Software,Systems Software,United States of America
EBAY,eBay Inc.,Common Stock,29.41,$23.24B,10800,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,United States of America
BSX,Boston Scientific Corp,Common Stock,31.17,$43.31B,10735,Health Care,Health Care Equipment & Supplies,Health Care Equipment,United States of America
NAV,Navistar International Corp,Common Stock,15.3,$1.65B,10656,Industrials,Machinery,Construction Machinery & Heavy Trucks,United States of America
ODP,Office Depot Inc,Common Stock,1.62,$866.99M,10647,Consumer Discretionary,Specialty Retail,Specialty Stores,United States of America
CNA,CNA Financial Corp,Common Stock,27.64,$7.55B,10587,Financials,Insurance,Property & Casualty Insurance,United States of America
TAP/A,Molson Coors Beverage Co,Common Stock,44.1071,$9.54B,10579.4,Consumer Staples,Beverages,Brewers,United States of America
TAP,Molson Coors Beverage Co,Common Stock,41.01,$8.65B,10579.4,Consumer Staples,Beverages,Brewers,United States of America
STLD,Steel Dynamics Inc,Common Stock,20.98,$4.57B,10464.991,Materials,Metals & Mining,Steel,United States of America
SAH,Sonic Automotive Inc.,Common Stock,11.09,$516.31M,10454.343,Consumer Discretionary,Specialty Retail,Automotive Retail,United States of America
AA,Alcoa Corp,Common Stock,5.97,$1.13B,10433,Materials,Metals & Mining,Aluminum,United States of America
CAG,Conagra Brands Inc,Common Stock,31.21,$14.58B,10379.7,Consumer Staples,Food Products,Packaged Foods & Meats,United States of America
FIS,Fidelity National Information Services Inc,Common Stock,115.22,$72.02B,10333,Information Technology,IT Services,Data Processing & Outsourced Services,United States of America
